index,Date,Price,Open,High,Low,Volume,Chg%,NIFTY
288,05-Feb-21,72.81,72.986,73.043,72.775,4.87K,-0.19%,14675.70
289,08-Feb-21,72.93,72.829,73.009,72.776,2.71K,0.16%,14707.80
290,09-Feb-21,72.854,72.93,72.962,72.826,2.95K,-0.10%,14982.00
291,10-Feb-21,72.79,72.865,72.903,72.775,2.70K,-0.09%,15097.35
292,11-Feb-21,72.7,72.815,72.895,72.665,2.06K,-0.12%,14529.15
293,12-Feb-21,72.58,72.706,72.83,72.56,1.89K,-0.17%,14761.55
294,15-Feb-21,72.618,72.613,72.7,72.513,3.26K,0.05%,14919.10
295,16-Feb-21,72.86,72.62,72.917,72.601,3.19K,0.33%,15245.60
296,17-Feb-21,72.815,72.915,72.97,72.725,3.81K,-0.06%,15080.75
297,18-Feb-21,72.58,72.837,72.837,72.537,3.17K,-0.32%,14938.10
298,19-Feb-21,72.55,72.585,72.732,72.418,2.40K,-0.04%,14956.20
299,22-Feb-21,72.44,72.575,72.601,72.285,1.98K,-0.15%,15098.40
300,23-Feb-21,72.38,72.465,72.564,72.308,2.08K,-0.08%,15174.80
301,24-Feb-21,72.38,72.382,72.47,72.263,2.15K,0.00%,15030.95
302,25-Feb-21,72.736,72.412,72.776,72.282,2.06K,0.49%,14929.50
303,26-Feb-21,73.92,72.975,74.06,72.946,1.91K,1.63%,14910.45
304,01-Mar-21,73.396,73.585,73.783,73.167,2.07K,-0.71%,14721.30
305,02-Mar-21,73.25,73.38,73.532,73.26,2.18K,-0.20%,14557.85
306,03-Mar-21,72.93,73.26,73.292,72.688,2.18K,-0.44%,14744.00
307,04-Mar-21,72.733,72.882,73.109,72.598,2.15K,-0.27%,14736.40
308,05-Mar-21,73.18,73.063,73.217,72.74,2.20K,0.61%,14814.75
309,08-Mar-21,73.35,73.21,73.417,72.927,4.94K,0.23%,14549.40
310,09-Mar-21,72.766,73.321,73.386,72.776,4.62K,-0.80%,14324.90
311,10-Mar-21,72.72,72.803,73.107,72.729,4.26K,-0.06%,14507.30
312,11-Mar-21,72.69,72.749,72.801,72.583,1.72K,-0.04%,14845.10
313,12-Mar-21,72.68,72.683,72.871,72.625,2.19K,-0.01%,14690.70
314,15-Mar-21,72.53,72.685,72.786,72.381,2.27K,-0.21%,14867.35
315,16-Mar-21,72.51,72.525,72.643,72.365,2.29K,-0.03%,14637.80
316,17-Mar-21,72.557,72.537,72.636,72.501,2.18K,0.06%,14683.50
317,18-Mar-21,72.69,72.362,72.724,72.32,2.60K,0.18%,14819.05
318,19-Mar-21,72.401,72.673,72.732,72.413,2.43K,-0.40%,14873.80
319,22-Mar-21,72.37,72.469,72.528,72.305,2.03K,-0.04%,14834.85
320,23-Mar-21,72.55,72.395,72.555,72.268,4.09K,0.25%,14310.80
321,24-Mar-21,72.59,72.57,72.726,72.503,4.30K,0.06%,14504.80
322,25-Mar-21,72.66,72.605,72.725,72.558,3.62K,0.10%,14581.45
323,26-Mar-21,72.61,72.635,72.663,72.363,2.52K,-0.07%,14617.85
324,29-Mar-21,72.748,72.526,72.768,72.481,0.75K,0.19%,14359.45
325,30-Mar-21,73.44,72.742,73.631,72.727,2.24K,0.95%,14296.40
326,31-Mar-21,73.137,73.418,73.618,73.05,2.04K,-0.41%,14406.15
327,01-Apr-21,73.323,73.169,73.453,73.155,0.95K,0.25%,14341.35
328,02-Apr-21,73.37,73.3,73.4,73.255,2.45K,0.06%,14485.00
329,05-Apr-21,73.294,73.34,73.463,73.276,1.61K,-0.10%,14653.05
330,06-Apr-21,73.486,73.26,73.502,73.207,2.11K,0.26%,14864.55
331,07-Apr-21,74.352,73.44,74.588,73.432,2.47K,1.18%,14894.90
332,08-Apr-21,74.572,74.46,74.923,74.184,1.80K,0.30%,14631.10
333,09-Apr-21,74.722,74.582,74.98,74.53,2.39K,0.20%,14634.15
334,12-Apr-21,74.98,74.985,75.2,74.733,2.30K,0.35%,14496.50
